EPOCH,RMSE,PCC,MAPE,MAE
0,3957.154786,0.147153,88.611504,2913.153320
10,2709.390799,0.311973,50.482056,1700.722900
20,2611.805984,0.350748,54.955051,1712.835083
30,2575.353956,0.373100,55.006596,1692.096191
40,2550.314490,0.388738,54.933681,1675.597656
50,2533.056355,0.399628,54.829510,1662.376831
60,2521.623287,0.406835,54.749874,1652.609253
70,2514.243922,0.411391,54.703777,1645.718750
80,2509.439778,0.414249,54.684525,1640.967651
90,2506.148739,0.416136,54.673885,1637.533569
100,2503.683387,0.417522,54.662411,1634.873657
110,2501.628769,0.418678,54.647713,1632.693970
120,2499.807793,0.419747,54.624313,1630.782471
130,2498.044936,0.420806,54.593441,1628.954102
140,2496.312280,0.421881,54.555168,1627.176392
150,2494.542844,0.422981,54.513229,1625.408203
160,2492.742767,0.424103,54.468498,1623.652100
170,2490.967382,0.425243,54.417961,1621.908813
180,2489.227993,0.426394,54.361237,1620.163330
190,2487.468894,0.427536,54.307079,1618.460205
200,2485.678479,0.428663,54.256454,1616.780640
210,2483.967894,0.429769,54.202057,1615.135620
220,2482.292086,0.430844,54.149208,1613.536987
230,2480.686498,0.431886,54.095016,1611.974487
240,2479.123535,0.432885,54.043781,1610.470337
250,2477.654637,0.433846,53.990555,1609.008423
260,2476.194661,0.434761,53.943157,1607.597412
270,2474.795547,0.435630,53.898010,1606.244629
280,2473.472054,0.436455,53.853992,1604.961914
290,2472.250392,0.437238,53.810146,1603.824951
300,2471.030251,0.437977,53.773003,1602.736450
310,2469.895848,0.438672,53.736252,1601.706299
320,2468.867655,0.439333,53.696392,1600.708984
330,2467.831741,0.439953,53.663742,1599.760986
340,2466.833902,0.440535,53.634254,1598.860229
350,2465.961577,0.441088,53.599869,1597.996826
360,2465.071906,0.441605,53.572742,1597.179199
370,2464.275654,0.442099,53.542042,1596.385986
380,2463.460371,0.442563,53.518715,1595.650757
390,2462.726741,0.443001,53.493580,1594.957397
400,2461.959382,0.443410,53.476593,1594.310791
410,2461.321799,0.443807,53.451004,1593.667603
420,2460.663833,0.444180,53.431461,1593.060913
430,2460.023984,0.444533,53.414104,1592.484131
440,2459.423205,0.444870,53.396851,1591.934814
450,2458.857763,0.445190,53.380108,1591.415283
460,2458.275412,0.445496,53.367180,1590.911377
470,2457.750191,0.445790,53.351982,1590.425659
480,2457.276948,0.446073,53.335239,1589.983643
490,2456.739608,0.446339,53.327393,1589.620728
500,2456.284898,0.446599,53.314251,1589.264526
510,2455.831733,0.446848,53.302845,1588.921997
520,2455.357917,0.447090,53.294453,1588.584106
530,2454.938390,0.447323,53.283504,1588.262695
540,2454.513394,0.447549,53.274452,1587.950684
550,2454.080480,0.447764,53.268368,1587.661743
560,2453.681520,0.447977,53.259621,1587.365112
570,2453.293501,0.448183,53.251694,1587.083862
580,2452.912147,0.448382,53.244617,1586.814941
590,2452.536850,0.448575,53.238297,1586.556152
600,2452.165166,0.448766,53.231819,1586.292114
610,2451.761816,0.448952,53.229042,1586.034546
620,2451.458341,0.449133,53.219604,1585.797119
630,2451.054161,0.449311,53.218349,1585.548584
640,2450.738256,0.449487,53.210670,1585.312500
650,2450.450775,0.449661,53.201088,1585.078003
660,2450.091529,0.449827,53.199219,1584.861572
670,2449.777031,0.449991,53.194073,1584.646973
680,2449.483007,0.450154,53.187347,1584.430298
690,2449.148219,0.450312,53.185013,1584.226440
700,2448.836969,0.450470,53.181435,1584.060303
710,2448.561823,0.450625,53.175438,1583.898560
720,2448.231402,0.450773,53.175579,1583.753662
730,2447.937601,0.450926,53.171349,1583.586426
740,2447.675326,0.451073,53.166451,1583.446899
750,2447.325785,0.451218,53.168602,1583.296631
760,2447.025746,0.451364,53.166611,1583.143555
770,2446.751724,0.451504,53.164108,1583.011963
780,2446.526517,0.451649,53.155949,1582.853760
790,2446.252338,0.451787,53.153744,1582.718384
800,2445.974550,0.451923,53.152103,1582.583008
810,2445.658705,0.452056,53.154282,1582.457642
820,2445.420209,0.452193,53.149311,1582.320312
830,2445.148666,0.452324,53.148403,1582.197876
840,2444.913189,0.452458,53.143970,1582.066162
850,2444.655906,0.452585,53.142578,1581.948486
860,2444.407597,0.452712,53.140575,1581.829346
870,2444.146170,0.452839,53.139450,1581.704712
880,2443.896581,0.452967,53.137154,1581.574585
890,2443.658118,0.453090,53.135075,1581.457764
900,2443.420144,0.453211,53.133495,1581.346802
910,2443.126481,0.453330,53.136436,1581.229126
920,2442.902168,0.453453,53.133053,1581.103027
930,2442.671386,0.453573,53.130733,1580.982056
940,2442.445598,0.453687,53.129257,1580.877197
950,2442.209348,0.453806,53.127548,1580.753052
960,2441.986486,0.453919,53.126472,1580.661621
970,2441.732479,0.454032,53.127827,1580.564087
980,2441.502202,0.454144,53.127422,1580.472046
990,2441.262788,0.454256,53.127880,1580.392090
