EPOCH,RMSE,PCC,MAPE,MAE
0,805.063468,0.485902,79.557602,388.240509
10,695.446462,0.540828,181.407379,311.426514
20,624.718912,0.624578,166.008713,286.378479
30,590.844417,0.675389,146.391174,265.034424
40,582.202768,0.676029,136.572021,256.048157
50,582.167797,0.665437,132.057327,253.124863
60,583.602123,0.656192,129.717026,251.956085
70,585.123438,0.649472,128.166046,251.347153
80,585.188671,0.646591,127.180687,250.606964
90,585.287643,0.644984,126.524536,250.055099
100,584.915085,0.644459,126.121246,249.475372
110,584.170593,0.645213,125.707779,248.858505
120,583.497376,0.645912,125.388344,248.334854
130,583.131016,0.646695,125.003632,247.981552
140,582.444740,0.647480,124.829475,247.661758
150,581.614778,0.648465,124.613228,247.270554
160,580.706251,0.649795,124.333336,246.855759
170,579.790075,0.650789,124.056580,246.422348
180,579.067192,0.651720,123.776573,246.072998
190,578.372285,0.652719,123.581596,245.761963
200,577.733178,0.653638,123.378937,245.473129
210,577.114780,0.654514,123.197670,245.201233
220,576.519622,0.655319,123.057121,244.940414
230,575.996365,0.656017,122.873825,244.700348
240,575.705573,0.656442,122.717728,244.547180
250,575.337482,0.656798,122.595497,244.401489
260,574.898795,0.657450,122.459984,244.226562
270,574.484688,0.657982,122.382629,244.065598
280,574.103323,0.658426,122.258553,243.914886
290,573.699181,0.658957,122.109512,243.749466
300,573.310344,0.659378,121.970810,243.583008
310,572.975485,0.659747,121.851227,243.440186
320,572.661931,0.660101,121.698135,243.297211
330,572.356396,0.660377,121.610229,243.170013
340,572.087597,0.660609,121.499603,243.053680
350,571.821077,0.660829,121.393120,242.936295
360,571.568210,0.661007,121.316948,242.828461
370,571.325050,0.661182,121.197144,242.716339
380,571.087340,0.661356,121.095207,242.605698
390,570.861931,0.661502,121.017166,242.505463
400,570.635172,0.661639,120.942451,242.408463
410,570.414378,0.661758,120.862343,242.318405
420,570.212378,0.661850,120.779015,242.233704
430,570.058769,0.661726,120.759407,242.193710
440,569.801583,0.661788,120.703949,242.108627
450,569.571659,0.661926,120.645882,242.033554
460,569.343756,0.662012,120.597237,241.976532
470,569.019634,0.662189,120.600876,241.917587
480,568.839059,0.662507,120.515991,241.870682
490,568.645128,0.662660,120.541557,241.813736
500,568.490545,0.662811,120.462830,241.743958
510,568.334244,0.662947,120.407341,241.669479
520,568.189009,0.663031,120.378075,241.612793
530,568.052127,0.663127,120.294563,241.550461
540,567.934745,0.663303,120.237526,241.493912
550,567.774466,0.663392,120.282761,241.448868
560,567.660688,0.663464,120.262642,241.415802
570,567.581107,0.663546,120.248672,241.393875
580,567.488161,0.663588,120.243652,241.373749
590,567.382670,0.663676,120.199066,241.331711
600,567.289113,0.663713,120.182755,241.308380
610,567.238321,0.663765,120.127014,241.281113
620,567.144795,0.663838,120.104630,241.244812
630,567.080407,0.663949,120.039764,241.203918
640,566.991099,0.664024,120.021759,241.171432
650,566.913656,0.664153,119.979050,241.126129
660,566.819967,0.664222,119.972557,241.096588
670,566.761386,0.664331,119.931458,241.062775
680,566.695410,0.664427,119.895859,241.030396
690,566.646881,0.664510,119.846664,241.016235
700,566.616134,0.664701,119.791344,240.995178
710,566.599837,0.664742,119.746834,240.972610
720,566.695107,0.664593,119.734978,241.005737
730,566.790112,0.664457,119.755768,241.042221
740,566.840834,0.664384,119.758469,241.059479
750,566.861397,0.664307,119.750771,241.070129
760,566.860184,0.664364,119.693588,241.058075
770,566.822338,0.664530,119.602264,241.030731
780,566.776135,0.664776,119.647400,241.024826
790,566.746333,0.664934,119.627266,241.021561
800,566.721217,0.665138,119.570496,241.010025
810,566.687745,0.665403,119.538696,240.995071
820,566.757554,0.665696,119.621147,241.068115
830,566.817073,0.665986,119.587540,241.061630
840,566.845520,0.666354,119.559700,241.064468
850,566.862031,0.666455,119.567413,241.100906
860,566.835928,0.666322,119.430046,241.084930
870,566.890559,0.666128,119.403221,241.105087
880,567.047176,0.665918,119.375664,241.150803
890,567.008322,0.666137,119.351700,241.117645
900,567.016424,0.666398,119.211792,241.098343
910,567.031690,0.666967,119.043877,241.092911
920,567.034694,0.666971,119.140663,241.133850
930,567.139175,0.667202,118.940453,241.155716
940,567.079056,0.667102,119.076935,241.162628
950,567.121680,0.667198,119.009354,241.185440
960,566.942568,0.667971,118.787354,241.037354
970,567.083961,0.668180,118.801773,241.090027
980,567.181243,0.667940,118.826653,241.118988
990,567.281180,0.667782,118.894295,241.171539
