EPOCH,RMSE,PCC,MAPE,MAE
0,1460.592431,0.440692,80.077133,747.440613
10,1335.960750,0.646679,51.979874,576.757690
20,1204.846411,0.710817,41.183895,504.395721
30,1177.365067,0.755220,43.010784,509.045135
40,1174.610627,0.772922,45.938423,519.406555
50,1173.794275,0.782550,48.741291,527.580139
60,1174.250293,0.786482,51.135887,533.809753
70,1174.081396,0.787481,52.846249,537.502686
80,1173.532115,0.787152,53.987427,539.538208
90,1172.287721,0.786448,54.745167,540.471680
100,1171.133479,0.785715,55.182720,540.842590
110,1170.137225,0.784886,55.459789,540.959534
120,1168.853926,0.784233,55.611324,540.689575
130,1167.226842,0.783880,55.684952,540.130737
140,1165.703382,0.783592,55.664715,539.409607
150,1164.417505,0.783210,55.588665,538.639404
160,1162.497903,0.782819,55.285614,536.987793
170,1160.455029,0.782506,54.946445,535.197998
180,1159.014883,0.782176,54.672131,533.920654
190,1157.983592,0.781699,54.406380,532.816650
200,1156.671356,0.781407,54.198444,531.713867
210,1155.756733,0.781105,54.025932,530.889954
220,1154.673655,0.780744,53.850597,529.949280
230,1153.758369,0.780412,53.738205,529.232727
240,1152.875210,0.780166,53.648170,528.584961
250,1152.134432,0.779872,53.559090,527.938965
260,1151.328200,0.779698,53.528614,527.443481
270,1150.599844,0.779467,53.449856,526.828186
280,1149.988478,0.779230,53.402214,526.372986
290,1149.322355,0.779095,53.374084,525.949158
300,1148.759766,0.778939,53.323845,525.520935
310,1148.271745,0.778857,53.317924,525.272339
320,1147.831270,0.778700,53.315399,525.038574
330,1147.271764,0.778575,53.312481,524.722839
340,1145.953806,0.778019,52.883869,522.872986
350,1144.905837,0.777484,52.446804,521.232849
360,1144.180056,0.777128,52.131535,520.086121
370,1143.531263,0.776868,51.889591,519.169983
380,1142.728150,0.776584,51.668018,518.181580
390,1142.073170,0.776299,51.486736,517.376770
400,1141.562799,0.776059,51.341320,516.726990
410,1141.068852,0.775789,51.205929,516.088562
420,1140.595294,0.775591,51.099506,515.539368
430,1140.184579,0.775449,51.026588,515.125916
440,1139.768288,0.775256,50.936691,514.637024
450,1139.359305,0.775076,50.848282,514.165894
460,1138.936236,0.774954,50.759731,513.694519
470,1138.550504,0.774877,50.707947,513.357788
480,1138.292636,0.774729,50.631950,513.001160
490,1138.132791,0.774600,50.578384,512.759460
500,1137.709706,0.774520,50.501160,512.327698
510,1137.348671,0.774443,50.434410,511.950500
520,1137.159290,0.774354,50.399162,511.759613
530,1136.984663,0.774225,50.329502,511.460968
540,1136.711595,0.774170,50.275761,511.171967
550,1136.256683,0.773987,50.083466,510.432129
560,1135.743974,0.773673,49.827457,509.510254
570,1135.117340,0.773361,49.527908,508.448090
580,1134.839691,0.773130,49.384567,507.969513
590,1134.436148,0.773055,49.261471,507.467438
600,1134.169189,0.772978,49.201370,507.198059
610,1133.984182,0.772794,49.109131,506.855652
620,1133.739168,0.772676,49.042973,506.565643
630,1133.555082,0.772551,48.985996,506.322723
640,1133.331759,0.772444,48.924683,506.049622
650,1133.191787,0.772361,48.866886,505.808899
660,1133.008330,0.772357,48.824806,505.603912
670,1132.963647,0.772259,48.804737,505.528625
680,1132.708038,0.772116,48.763092,505.285339
690,1132.550054,0.771952,48.703270,505.025757
700,1132.540562,0.771725,48.650677,504.857941
710,1132.455628,0.771607,48.623775,504.741699
720,1132.268906,0.771503,48.596550,504.569061
730,1131.920492,0.771442,48.525532,504.191559
740,1131.909338,0.771224,48.483437,504.054993
750,1131.853347,0.771097,48.468864,503.985870
760,1131.495802,0.771025,48.406193,503.622772
770,1131.475254,0.770786,48.350849,503.435669
780,1131.376485,0.770641,48.312984,503.274231
790,1131.111400,0.770505,48.232067,502.898468
800,1131.196656,0.770343,48.229698,502.925232
810,1131.033267,0.770300,48.209095,502.796112
820,1130.974359,0.770180,48.166069,502.630981
830,1130.887815,0.770076,48.127224,502.481354
840,1130.576623,0.770167,48.120834,502.333679
850,1130.553460,0.770060,48.088501,502.225586
860,1130.400261,0.769998,48.060070,502.073608
870,1130.715316,0.769749,48.051819,502.182556
880,1130.426358,0.769805,48.025105,501.986633
890,1130.244940,0.769730,47.970886,501.736328
900,1130.199042,0.769676,47.946476,501.643951
910,1130.168571,0.769660,47.957085,501.668182
920,1130.174931,0.769528,47.925255,501.563873
930,1129.882848,0.769635,47.927116,501.455688
940,1130.156571,0.769365,47.891098,501.448425
950,1129.802250,0.769448,47.870590,501.232574
960,1129.819731,0.769320,47.840172,501.133881
970,1129.688065,0.769413,47.854519,501.138672
980,1129.660900,0.769107,47.716255,500.719421
990,1129.272443,0.769150,47.656517,500.399658
