EPOCH,RMSE,PCC,MAPE,MAE
0,2223.486002,0.086333,83.689621,1577.763184
10,1620.588936,0.510179,59.404751,963.429871
20,1436.155110,0.702192,41.213814,788.273010
30,1364.912451,0.750590,32.043427,723.089966
40,1343.343915,0.772738,29.829128,709.094666
50,1318.465348,0.783495,28.800344,695.242432
60,1301.477334,0.791188,28.215992,688.083008
70,1292.091135,0.796770,28.134781,685.417603
80,1285.049659,0.800418,28.522560,685.470520
90,1280.154825,0.802655,28.995951,686.421936
100,1276.164027,0.804041,29.353619,686.971191
110,1273.083462,0.804943,29.620394,687.254089
120,1270.214204,0.805518,29.771778,686.860535
130,1267.503698,0.806164,29.853415,686.279358
140,1265.038092,0.806622,29.903397,685.585693
150,1262.116724,0.806890,29.909883,684.251099
160,1260.390416,0.807124,29.960850,683.911194
170,1258.541219,0.807329,29.958454,683.186646
180,1256.579385,0.807425,29.910667,682.031128
190,1254.907168,0.807371,29.856417,680.904907
200,1253.275010,0.807322,29.816900,679.847656
210,1252.028404,0.807298,29.775881,679.001953
220,1250.765416,0.807250,29.730867,678.060242
230,1249.455531,0.807151,29.680695,677.096313
240,1247.510421,0.806880,29.568953,675.406128
250,1246.159300,0.806819,29.504137,674.374756
260,1245.389849,0.806702,29.458981,673.787231
270,1244.474236,0.806492,29.412600,673.083374
280,1243.482207,0.806292,29.321407,672.058044
290,1242.882034,0.806082,29.256727,671.451294
300,1242.142957,0.805913,29.196457,670.814514
310,1241.988476,0.805775,29.160877,670.714539
320,1241.326458,0.805583,29.101313,670.076843
330,1219.158624,0.799321,39.308678,706.647156
340,1190.962269,0.792511,35.978157,665.238586
350,1170.176215,0.787640,33.402073,638.320190
360,1166.515966,0.784414,32.902973,634.726135
370,1159.558752,0.778414,32.042675,624.404968
380,1131.286602,0.771174,27.090036,579.678467
390,1157.601129,0.771121,32.178226,625.093140
400,1160.843013,0.766270,32.958130,630.151123
410,1158.951358,0.763483,32.405136,625.887451
420,1138.428412,0.756675,27.540245,585.510193
430,1158.632653,0.756832,32.435555,625.184326
440,1139.729354,0.751834,28.143148,589.941101
450,1148.394858,0.751557,30.635807,609.483826
460,1151.144050,0.749596,31.191828,613.938416
470,1152.685614,0.746345,31.075392,613.487366
480,1152.672059,0.744831,30.844793,611.956909
490,1146.922458,0.741117,29.999712,603.099243
500,1150.285562,0.741518,29.824240,604.968445
510,1150.318489,0.738762,29.984476,605.174011
520,1151.532566,0.737048,29.636103,603.789551
530,1147.530446,0.734408,29.241301,598.736572
540,1146.865620,0.733262,29.101269,597.485901
550,1147.875592,0.731550,29.187332,598.165283
560,1148.121999,0.729988,29.237543,598.282410
570,1148.412709,0.728706,29.247168,598.313599
580,1149.013490,0.727779,29.257118,598.543701
590,1149.558339,0.726831,29.400139,599.539185
600,1150.199548,0.725922,29.301714,599.129822
610,1151.432206,0.725215,29.441525,600.436279
620,1148.532705,0.725623,28.755144,595.235718
630,1149.492062,0.724071,28.734430,595.372742
640,1150.403462,0.723080,28.793886,596.097534
650,1150.767624,0.722217,28.764788,595.998108
660,1151.862568,0.722015,28.783379,596.779785
670,1152.196001,0.721312,28.790438,596.824951
680,1152.591428,0.720644,28.828796,597.045105
690,1152.945630,0.720259,28.834801,597.180725
700,1153.310019,0.719985,28.777576,596.940063
710,1165.483376,0.721681,31.911785,621.927551
720,1153.846394,0.718916,28.828918,597.210449
730,1162.879830,0.720600,31.399963,617.342773
740,1153.681878,0.718527,28.709753,596.266235
750,1163.587395,0.721728,31.578552,619.394958
760,1163.083402,0.721083,31.354494,617.443909
770,1162.297778,0.725541,31.852238,621.879700
780,1160.760850,0.723302,31.191149,616.202209
790,1160.533498,0.722767,31.073208,615.387207
800,1151.330046,0.719448,28.690643,595.469849
810,1157.490011,0.722281,30.494614,610.671570
820,1157.180247,0.719832,30.011078,606.895813
830,1148.505660,0.718145,28.219559,590.733887
840,1150.920175,0.717091,28.511690,593.602417
850,1148.444981,0.718351,28.283623,591.370422
860,1158.275118,0.721025,30.683670,612.231628
870,1151.349643,0.718173,28.808372,596.363647
880,1148.015897,0.718104,28.311741,591.421326
890,1151.304043,0.722608,28.963682,599.374695
900,1151.455546,0.722296,28.945946,599.203064
910,1151.756268,0.722342,29.006285,599.798401
920,1154.306177,0.725116,29.233280,603.964722
930,1155.211236,0.720512,30.728645,611.351624
940,1152.243844,0.723625,28.953402,600.694580
950,1154.874993,0.719675,30.481876,609.593201
960,1153.780363,0.724083,29.173763,603.275940
970,1154.491880,0.719547,30.492548,609.515198
980,1153.490735,0.723967,29.127247,602.981384
990,1154.289500,0.719131,30.424421,608.976257
