EPOCH,RMSE,PCC,MAPE,MAE
0,1657.193109,-0.047878,91.379524,1379.169922
10,1000.284022,0.064727,51.523361,716.538757
20,903.353578,0.356585,49.002220,662.010681
30,806.983387,0.564252,36.754292,561.882263
40,769.752639,0.623441,32.557400,520.127319
50,749.381036,0.647355,31.057802,499.648804
60,734.693644,0.662095,30.163284,485.216736
70,722.964708,0.673855,29.438517,473.672546
80,713.626215,0.683183,28.839151,464.190826
90,706.055681,0.690542,28.373592,456.859375
100,699.920219,0.696461,28.008173,451.209839
110,694.790234,0.701412,27.717791,446.798218
120,690.497715,0.705582,27.480381,443.302551
130,686.872418,0.709081,27.300079,440.585449
140,683.796159,0.711998,27.159908,438.370026
150,681.145542,0.714459,27.062927,436.674164
160,678.833006,0.716571,26.993135,435.290039
170,676.846802,0.718267,26.962376,434.287903
180,675.087633,0.719750,26.942099,433.441101
190,673.525102,0.721068,26.924175,432.674103
200,672.108831,0.722259,26.913015,432.047913
210,670.839493,0.723310,26.910912,431.560822
220,669.696643,0.724244,26.913874,431.141724
230,668.663008,0.725078,26.919624,430.778687
240,667.724073,0.725828,26.925459,430.444336
250,666.867936,0.726505,26.931978,430.138947
260,666.077628,0.727140,26.936615,429.848511
270,665.349156,0.727721,26.941359,429.586975
280,664.673157,0.728270,26.943691,429.331543
290,664.061109,0.728747,26.949522,429.112762
300,663.494584,0.729183,26.954750,428.902435
310,662.959534,0.729609,26.955656,428.680054
320,662.457687,0.730005,26.956205,428.466644
330,662.001204,0.730355,26.958849,428.287964
340,661.574094,0.730680,26.961134,428.115936
350,661.173932,0.730983,26.962906,427.949158
360,660.797955,0.731266,26.964127,427.786804
370,660.444216,0.731533,26.964840,427.628754
380,660.112041,0.731782,26.965635,427.478577
390,659.798904,0.732016,26.966408,427.334351
400,659.503293,0.732235,26.967157,427.197937
410,659.223881,0.732443,26.968180,427.071625
420,658.959502,0.732638,26.970049,426.964539
430,658.709036,0.732823,26.971973,426.864563
440,658.471573,0.732997,26.973688,426.767242
450,658.246178,0.733162,26.975489,426.675568
460,658.031962,0.733319,26.977594,426.591522
470,657.828364,0.733467,26.979540,426.509796
480,657.634587,0.733608,26.981342,426.430176
490,657.450093,0.733741,26.983023,426.352722
500,657.274225,0.733868,26.984589,426.277283
510,657.106536,0.733988,26.986048,426.203796
520,656.941112,0.734116,26.985594,426.125885
530,656.784473,0.734230,26.987078,426.063049
540,656.640360,0.734337,26.988663,426.006073
550,656.505331,0.734433,26.991436,425.959167
560,656.367609,0.734531,26.993511,425.906708
570,656.241357,0.734619,26.996153,425.860962
580,656.118201,0.734706,26.998117,425.813171
590,656.001477,0.734788,27.000368,425.768585
600,655.889854,0.734865,27.002554,425.725464
610,655.782691,0.734940,27.004623,425.683319
620,655.680086,0.735011,27.006626,425.642517
630,655.586379,0.735103,27.004313,425.587097
640,655.483719,0.735184,27.003666,425.535339
650,655.390556,0.735255,27.004219,425.492554
660,655.293517,0.735320,27.005512,425.449646
670,655.206361,0.735385,27.005959,425.407806
680,655.111918,0.735421,27.011417,425.382355
690,655.052264,0.735488,27.009836,425.345795
700,654.982776,0.735536,27.011429,425.316956
710,654.903667,0.735588,27.012632,425.280334
720,654.834784,0.735633,27.014238,425.250793
730,654.760954,0.735663,27.018534,425.231506
740,654.705349,0.735711,27.018568,425.203400
750,654.659167,0.735747,27.020163,425.186890
760,654.593027,0.735787,27.021606,425.158203
770,654.527334,0.735817,27.024618,425.136322
780,654.470277,0.735843,27.027702,425.119904
790,654.430931,0.735891,27.026237,425.096161
800,654.371788,0.735903,27.031446,425.088989
810,654.336472,0.735945,27.030596,425.069366
820,654.283219,0.735961,27.034431,425.059235
830,654.255445,0.735994,27.034393,425.048218
840,654.202568,0.736014,27.037331,425.034637
850,654.175125,0.736037,27.038832,425.033539
860,654.122241,0.736062,27.041145,425.022949
870,654.096156,0.736075,27.044121,425.029907
880,654.064790,0.736098,27.045504,425.026550
890,654.031010,0.736118,27.047424,425.024017
900,653.998089,0.736137,27.049271,425.021454
910,653.952096,0.736154,27.051731,425.013947
920,653.931309,0.736174,27.052641,425.013641
930,653.912145,0.736198,27.052670,425.010742
940,653.869922,0.736202,27.056959,425.012299
950,653.861678,0.736237,27.054470,425.004150
960,653.820049,0.736234,27.059664,425.009460
970,653.799281,0.736241,27.062063,425.014679
980,653.775478,0.736256,27.063335,425.013031
990,653.747682,0.736265,27.065506,425.012573
